invoice_id,customer_id,product_location_id,quantity,unit_price,markup_amount,total,date,time,payment,rating
232-16-2483,1,16,1,68.12,3.406,71.526,2019-01-07,12:28,Ewallet,6.8
129-29-8530,4,4,5,62.62,15.655,328.755,2019-03-10,19:15,Ewallet,7
272-65-1806,2,5,9,60.88,27.396,575.316,2019-01-15,17:17,Ewallet,4.7
333-73-7901,2,17,8,54.92,21.968,461.328,2019-03-23,13:24,Ewallet,7.6
777-82-7220,4,12,8,30.12,12.048,253.008,2019-03-03,13:01,Cash,7.7
280-35-5823,1,12,1,86.72,4.336,91.056,2019-01-17,18:45,Ewallet,7.9
554-53-8700,4,6,2,56.11,5.611,117.831,2019-02-02,10:11,Cash,6.3
354-25-5821,1,11,6,69.12,20.736,435.456,2019-02-08,13:03,Cash,5.6
228-96-1411,1,15,8,98.7,39.48,829.08,2019-03-04,20:39,Cash,7.6
617-15-4209,4,17,2,15.37,1.537,32.277,2019-03-16,19:47,Cash,7.2
132-32-9879,1,9,4,93.96,18.792,394.632,2019-03-09,18:00,Cash,9.5
370-41-7321,4,13,9,56.69,25.5105,535.7205,2019-02-27,17:24,Credit card,8.4
727-46-3608,1,7,9,20.01,9.0045,189.0945,2019-02-06,15:47,Ewallet,4.1
669-54-1719,4,9,6,18.93,5.679,119.259,2019-02-10,12:45,Credit card,8.1
574-22-5561,1,18,10,82.63,41.315,867.615,2019-03-19,17:08,Ewallet,7.9
326-78-5178,4,15,7,91.4,31.99,671.79,2019-02-03,10:19,Cash,9.5
162-48-8011,1,10,5,44.59,11.1475,234.0975,2019-02-10,15:10,Cash,8.5
616-24-2851,1,8,4,17.87,3.574,75.054,2019-03-22,14:42,Ewallet,6.5
778-71-5554,4,18,1,15.43,0.7715,16.2015,2019-01-25,15:46,Credit card,6.1
242-55-6721,3,12,2,16.16,1.616,33.936,2019-03-07,11:49,Ewallet,6.5
399-46-5918,2,2,8,85.98,34.392,722.232,2019-02-28,19:01,Cash,8.2
106-35-6779,4,3,2,44.34,4.434,93.114,2019-03-27,11:26,Cash,5.8
635-40-6220,3,1,8,89.6,35.84,752.64,2019-02-07,11:28,Ewallet,6.6
817-48-8732,1,3,10,72.35,36.175,759.675,2019-01-20,15:55,Cash,5.4
120-06-4233,3,2,6,30.61,9.183,192.843,2019-03-12,20:36,Cash,9.3
285-68-5083,1,16,3,24.74,3.711,77.931,2019-02-15,17:47,Credit card,10
803-83-5989,3,6,6,55.73,16.719,351.099,2019-02-24,10:55,Ewallet,7
347-34-2234,1,11,9,55.07,24.7815,520.4115,2019-02-03,13:40,Ewallet,10
199-75-8169,4,4,10,15.81,7.905,166.005,2019-03-06,12:27,Credit card,8.6
853-23-2453,4,13,4,75.74,15.148,318.108,2019-02-14,14:35,Cash,7.6
877-22-3308,4,1,10,15.87,7.935,166.635,2019-03-13,16:40,Cash,5.8
838-78-4295,2,17,2,33.47,3.347,70.287,2019-02-10,15:43,Ewallet,6.7
109-28-2512,1,8,6,97.61,29.283,614.943,2019-01-07,15:01,Ewallet,9.9
232-11-3025,3,4,10,78.77,39.385,827.085,2019-01-24,10:04,Cash,6.4
382-03-4532,1,1,1,18.33,0.9165,19.2465,2019-02-02,18:50,Cash,4.3
393-65-2792,3,15,10,89.48,44.74,939.54,2019-01-06,12:46,Credit card,9.6
796-12-2025,3,18,10,62.12,31.06,652.26,2019-02-11,16:19,Cash,5.9
510-95-6347,1,7,3,48.52,7.278,152.838,2019-03-05,18:17,Ewallet,4
841-35-6630,2,2,6,75.91,22.773,478.233,2019-03-09,18:21,Cash,8.7
287-21-9091,3,3,9,74.67,33.6015,705.6315,2019-01-22,10:55,Ewallet,9.4
732-94-0499,2,2,10,41.65,20.825,437.325,2019-01-13,17:04,Credit card,5.4
263-10-3913,4,18,9,49.04,22.068,463.428,2019-01-09,14:20,Credit card,8.6
381-20-0914,1,14,9,20.01,9.0045,189.0945,2019-01-12,15:48,Credit card,5.7
829-49-1914,1,15,10,78.31,39.155,822.255,2019-03-05,16:24,Ewallet,6.6
756-01-7507,2,17,5,20.38,5.095,106.995,2019-01-22,18:56,Cash,6
870-72-4431,2,17,6,99.19,29.757,624.897,2019-01-21,14:42,Credit card,5.5
847-38-7188,2,7,3,96.68,14.502,304.542,2019-01-26,19:56,Ewallet,6.4
480-63-2856,3,15,8,19.25,7.7,161.7,2019-01-23,18:37,Ewallet,6.6
787-56-0757,1,15,4,80.36,16.072,337.512,2019-02-23,18:45,Credit card,8.3
360-39-5055,4,16,5,48.91,12.2275,256.7775,2019-03-09,10:17,Cash,6.6
730-50-9884,2,16,7,83.06,29.071,610.491,2019-03-05,14:31,Ewallet,4
362-58-8315,3,18,5,76.52,19.13,401.73,2019-03-25,10:23,Cash,9.9
633-44-8566,4,10,7,49.38,17.283,362.943,2019-03-27,20:35,Credit card,7.3
504-35-8843,3,4,1,42.47,2.1235,44.5935,2019-01-02,16:57,Cash,5.7
318-68-5053,2,13,6,76.99,23.097,485.037,2019-02-27,17:55,Cash,6.1
565-80-5980,1,6,4,47.38,9.476,198.996,2019-01-23,10:25,Cash,7.1
225-32-0908,2,16,10,44.86,22.43,471.03,2019-01-26,19:54,Ewallet,8.2
873-51-0671,1,4,7,21.98,7.693,161.553,2019-01-10,16:42,Ewallet,5.1
152-08-9985,4,13,9,64.36,28.962,608.202,2019-03-12,12:09,Credit card,8.6
512-91-0811,3,17,1,89.75,4.4875,94.2375,2019-02-06,20:05,Credit card,6.6
594-34-4444,3,5,1,97.16,4.858,102.018,2019-03-08,20:38,Ewallet,7.2
766-85-7061,3,13,10,87.87,43.935,922.635,2019-03-29,10:25,Ewallet,5.1
871-39-9221,2,2,6,12.45,3.735,78.435,2019-02-09,13:11,Cash,4.1
865-92-6136,3,10,3,52.75,7.9125,166.1625,2019-03-23,10:16,Ewallet,9.3
733-01-9107,3,12,6,82.7,24.81,521.01,2019-03-05,18:14,Cash,7.4
163-56-7055,4,18,1,48.71,2.4355,51.1455,2019-03-26,19:20,Cash,4.1
189-98-2939,3,18,9,78.55,35.3475,742.2975,2019-03-01,13:22,Cash,7.2
551-21-3069,2,2,9,23.07,10.3815,218.0115,2019-02-01,11:27,Cash,4.9
212-62-1842,3,10,6,58.26,17.478,367.038,2019-03-28,16:44,Cash,9.9
716-39-1409,3,13,7,30.35,10.6225,223.0725,2019-03-19,18:19,Cash,8
704-48-3927,4,5,10,88.67,44.335,931.035,2019-01-12,14:50,Ewallet,7.3
628-34-3388,3,18,6,27.38,8.214,172.494,2019-01-05,20:54,Credit card,7.9
630-74-5166,3,4,6,62.13,18.639,391.419,2019-03-22,20:19,Cash,7.4
588-01-7461,2,15,9,33.98,15.291,321.111,2019-03-24,10:43,Cash,4.2
861-77-0145,4,2,10,81.97,40.985,860.685,2019-03-03,14:30,Cash,9.2
479-26-8945,1,11,2,16.49,1.649,34.629,2019-02-05,11:32,Ewallet,4.6
210-67-5886,1,17,3,98.21,14.7315,309.3615,2019-02-05,10:41,Credit card,7.8
227-78-1148,2,8,7,72.84,25.494,535.374,2019-02-15,12:44,Cash,8.4
645-44-1170,4,3,9,58.07,26.1315,548.7615,2019-01-19,20:07,Ewallet,4.3
237-01-6122,1,6,9,80.79,36.3555,763.4655,2019-02-01,20:31,Credit card,9.5
225-98-1496,2,18,3,27.02,4.053,85.113,2019-03-02,13:01,Credit card,7.1
291-32-1427,4,8,5,21.94,5.485,115.185,2019-03-05,12:29,Ewallet,5.3
659-65-8956,4,8,1,51.36,2.568,53.928,2019-01-16,15:26,Ewallet,5.2
642-32-2990,2,10,10,10.96,5.48,115.08,2019-02-02,20:48,Ewallet,6
378-24-2715,3,12,2,53.44,5.344,112.224,2019-01-20,20:38,Ewallet,4.1
638-60-7125,2,5,8,99.56,39.824,836.304,2019-02-14,17:03,Credit card,5.2
659-36-1684,4,16,7,57.12,19.992,419.832,2019-01-12,12:02,Credit card,6.5
219-22-9386,4,11,9,99.96,44.982,944.622,2019-03-09,17:26,Credit card,4.2
336-78-2147,4,6,8,63.91,25.564,536.844,2019-03-13,19:52,Credit card,4.6
268-27-6179,1,8,8,56.47,22.588,474.348,2019-03-09,14:57,Ewallet,7.3
668-90-8900,2,3,7,93.69,32.7915,688.6215,2019-03-10,18:44,Credit card,4.5
870-54-3162,2,4,5,32.25,8.0625,169.3125,2019-01-27,13:26,Cash,9
189-08-9157,2,18,9,31.73,14.2785,299.8485,2019-01-08,16:17,Credit card,5.9
663-86-9076,1,15,8,68.54,27.416,575.736,2019-01-08,15:57,Ewallet,8.5
549-84-7482,2,11,9,90.28,40.626,853.146,2019-02-08,11:15,Ewallet,7.2
191-10-6171,2,8,7,39.62,13.867,291.207,2019-01-25,13:18,Cash,7.5
802-70-5316,1,4,6,92.13,27.639,580.419,2019-03-06,20:34,Cash,8.3
695-51-0018,2,11,4,34.84,6.968,146.328,2019-02-10,18:36,Cash,7.4
590-83-4591,4,9,6,87.45,26.235,550.935,2019-02-17,14:40,Credit card,8.8
483-71-1164,2,17,6,81.3,24.39,512.19,2019-03-08,16:43,Ewallet,5.3
597-78-7908,3,18,3,90.22,13.533,284.193,2019-02-18,19:39,Cash,6.2
700-81-1757,2,5,5,26.31,6.5775,138.1275,2019-01-18,20:59,Credit card,8.8
354-39-5160,1,3,6,34.42,10.326,216.846,2019-02-18,15:39,Cash,9.8
241-72-9525,3,11,10,51.91,25.955,545.055,2019-02-16,12:21,Cash,8.2
575-30-8091,3,4,8,72.5,29,609.0,2019-03-16,19:25,Ewallet,9.2
731-81-9469,1,16,10,89.8,44.9,942.9,2019-01-23,13:00,Credit card,5.4
280-17-4359,4,17,10,90.5,45.25,950.25,2019-01-25,13:48,Cash,8.1
338-65-2210,1,17,10,68.6,34.3,720.3,2019-02-05,19:57,Cash,9.1
488-25-4221,1,15,1,30.41,1.5205,31.9305,2019-02-22,10:36,Credit card,8.4
239-10-7476,2,3,6,77.95,23.385,491.085,2019-01-21,16:37,Ewallet,8
458-41-1477,2,17,6,46.26,13.878,291.438,2019-03-08,17:11,Credit card,9.5
685-64-1609,1,14,10,30.14,15.07,316.47,2019-02-10,12:28,Ewallet,9.2
568-90-5112,3,17,4,66.14,13.228,277.788,2019-03-19,12:46,Credit card,5.6
262-47-2794,4,12,8,71.86,28.744,603.624,2019-03-06,15:07,Credit card,6.2
238-49-0436,3,1,8,32.46,12.984,272.664,2019-03-27,13:48,Credit card,4.9
608-96-3517,1,8,4,91.54,18.308,384.468,2019-03-23,19:20,Credit card,4.8
584-86-7256,4,16,7,34.56,12.096,254.016,2019-03-11,16:07,Credit card,7.3
746-94-0204,3,14,9,83.24,37.458,786.618,2019-01-29,11:56,Credit card,7.4
214-17-6927,2,15,6,16.48,4.944,103.824,2019-02-07,18:23,Ewallet,9.9
400-89-4171,2,16,8,80.97,32.388,680.148,2019-01-28,13:05,Cash,9.3
782-95-9291,4,10,5,92.29,23.0725,484.5225,2019-02-20,15:55,Credit card,9
279-74-2924,4,9,1,72.17,3.6085,75.7785,2019-01-04,19:40,Cash,6.1
307-85-2293,3,12,5,50.28,12.57,263.97,2019-03-07,13:58,Ewallet,9.7
743-04-1105,4,13,9,97.22,43.749,918.729,2019-03-30,14:43,Ewallet,6
423-57-2993,3,11,6,93.39,28.017,588.357,2019-03-27,19:18,Ewallet,10
894-41-5205,2,15,8,43.18,17.272,362.712,2019-01-19,19:39,Credit card,8.3
275-28-0149,3,4,1,63.69,3.1845,66.8745,2019-02-25,16:21,Cash,6
101-17-6199,3,10,7,45.79,16.0265,336.5565,2019-03-13,19:44,Credit card,7
423-80-0988,3,16,2,76.4,7.64,160.44,2019-01-30,19:42,Ewallet,6.5
548-46-9322,3,7,10,39.9,19.95,418.95,2019-02-20,15:24,Credit card,5.9
505-02-0892,4,13,8,42.57,17.028,357.588,2019-02-25,14:12,Ewallet,5.6
234-65-2137,3,6,10,95.58,47.79,1003.59,2019-01-16,13:32,Cash,4.8
687-47-8271,3,14,10,98.98,49.49,1039.29,2019-02-08,16:20,Credit card,8.7
796-32-9050,3,10,6,51.28,15.384,323.064,2019-01-19,16:31,Cash,6.5
105-31-1824,4,4,7,69.52,24.332,510.972,2019-02-01,15:10,Credit card,8.5
249-42-3782,3,1,5,70.01,17.5025,367.5525,2019-01-03,11:36,Ewallet,5.5
316-55-4634,4,7,5,80.05,20.0125,420.2625,2019-01-26,12:45,Credit card,9.4
733-33-4967,3,2,8,20.85,8.34,175.14,2019-03-03,19:17,Cash,6.3
608-27-6295,4,9,6,52.89,15.867,333.207,2019-01-19,17:34,Credit card,9.8
414-12-7047,3,7,8,19.79,7.916,166.236,2019-01-18,12:04,Ewallet,8.7
827-26-2100,4,3,9,33.84,15.228,319.788,2019-03-21,16:21,Ewallet,8.8
175-54-2529,4,10,8,22.17,8.868,186.228,2019-03-03,17:01,Credit card,9.6
139-52-2867,2,18,7,22.51,7.8785,165.4485,2019-02-13,10:50,Credit card,4.8
407-63-8975,3,10,6,73.88,22.164,465.444,2019-03-23,19:16,Ewallet,4.4
342-65-4817,4,17,3,86.8,13.02,273.42,2019-01-28,16:47,Ewallet,9.9
130-98-8941,3,18,7,64.26,22.491,472.311,2019-02-09,10:00,Cash,5.7
434-83-9547,4,15,8,38.47,15.388,323.148,2019-01-23,11:51,Cash,7.7
851-28-6367,4,4,10,15.5,7.75,162.75,2019-03-23,10:55,Ewallet,8
824-88-3614,3,17,8,34.31,13.724,288.204,2019-01-25,15:00,Ewallet,5.7
586-25-0848,2,4,7,12.34,4.319,90.699,2019-03-04,11:19,Credit card,6.7
895-66-0685,4,7,3,18.08,2.712,56.952,2019-03-05,19:46,Ewallet,8
305-14-0245,1,12,8,94.49,37.796,793.716,2019-03-03,19:00,Ewallet,7.5
732-04-5373,4,12,4,46.47,9.294,195.174,2019-02-08,10:53,Cash,7
400-60-7251,3,3,1,74.07,3.7035,77.7735,2019-02-10,12:50,Ewallet,9.9
593-65-1552,2,6,4,69.81,13.962,293.202,2019-01-28,20:50,Credit card,5.9
284-34-9626,2,12,3,77.04,11.556,242.676,2019-02-11,10:39,Credit card,7.2
437-58-8131,2,8,2,73.52,7.352,154.392,2019-01-15,13:41,Ewallet,4.6
286-43-6208,2,15,9,87.8,39.51,829.71,2019-03-16,19:08,Cash,9.2
641-43-2399,3,12,4,25.55,5.11,107.31,2019-01-26,20:23,Ewallet,5.7
831-07-6050,3,5,5,32.71,8.1775,171.7275,2019-03-19,11:30,Credit card,9.9
556-86-3144,1,18,1,74.29,3.7145,78.0045,2019-01-13,19:30,Cash,5
848-24-9445,4,17,2,43.7,4.37,91.77,2019-03-26,18:03,Cash,4.9
856-22-8149,2,3,1,25.29,1.2645,26.5545,2019-03-23,10:13,Ewallet,6.1
699-01-4164,3,17,4,41.5,8.3,174.3,2019-03-12,19:58,Credit card,8.2
420-11-4919,1,15,5,71.39,17.8475,374.7975,2019-02-17,19:57,Credit card,5.5
606-80-4905,1,16,6,19.15,5.745,120.645,2019-01-29,10:01,Credit card,6.8
542-41-0513,1,9,4,57.49,11.498,241.458,2019-03-15,11:57,Cash,6.6
426-39-2418,3,2,7,61.41,21.4935,451.3635,2019-01-14,10:02,Cash,9.8
875-46-5808,4,13,10,25.9,12.95,271.95,2019-02-06,14:51,Ewallet,8.7
394-43-4238,4,12,5,17.77,4.4425,93.2925,2019-02-15,12:42,Credit card,5.4
749-24-1565,2,1,9,23.03,10.3635,217.6335,2019-01-03,12:02,Ewallet,7.9
672-51-8681,1,2,9,66.65,29.9925,629.8425,2019-01-04,18:19,Credit card,9.7
263-87-5680,1,6,10,28.53,14.265,299.565,2019-03-18,17:38,Ewallet,7.8
573-58-9734,2,8,3,30.37,4.5555,95.6655,2019-03-28,13:41,Ewallet,5.1
817-69-8206,2,9,9,99.73,44.8785,942.4485,2019-03-02,19:42,Credit card,6.5
888-02-0338,3,5,9,26.23,11.8035,247.8735,2019-01-25,20:24,Ewallet,5.9
677-11-0152,2,15,9,93.26,41.967,881.307,2019-01-16,18:08,Cash,8.8
142-63-6033,3,12,5,92.36,23.09,484.89,2019-03-20,19:17,Ewallet,4.9
656-16-1063,3,11,3,46.42,6.963,146.223,2019-01-04,13:24,Credit card,4.4
891-58-8335,1,11,7,29.61,10.3635,217.6335,2019-03-11,15:53,Cash,6.5
802-43-8934,3,3,1,18.28,0.914,19.194,2019-03-22,15:05,Credit card,8.3
560-30-5617,2,11,5,24.77,6.1925,130.0425,2019-03-24,18:27,Cash,8.5
319-74-2561,1,5,3,94.64,14.196,298.116,2019-02-21,16:55,Cash,5.5
549-03-9315,3,8,8,94.87,37.948,796.908,2019-02-12,12:58,Ewallet,8.7
790-29-1172,2,7,3,57.34,8.601,180.621,2019-03-10,18:59,Credit card,7.9
239-36-3640,3,9,6,45.35,13.605,285.705,2019-01-31,13:44,Ewallet,6.1
468-01-2051,3,7,7,62.08,21.728,456.288,2019-03-06,13:46,Ewallet,5.4
389-25-3394,3,2,5,11.81,2.9525,62.0025,2019-02-17,18:06,Cash,9.4
279-62-1445,1,18,1,12.54,0.627,13.167,2019-02-21,12:38,Cash,8.2
213-72-6612,3,10,2,43.25,4.325,90.825,2019-03-20,15:56,Cash,6.2
746-68-6593,1,16,2,87.16,8.716,183.036,2019-01-11,14:29,Credit card,9.7
836-82-5858,4,13,9,69.37,31.2165,655.5465,2019-01-26,19:14,Ewallet,4
583-72-1480,4,2,4,37.06,7.412,155.652,2019-01-31,16:24,Ewallet,9.7
466-61-5506,1,9,6,90.7,27.21,571.41,2019-02-26,10:52,Cash,5.3
721-86-6247,2,3,8,63.42,25.368,532.728,2019-03-11,12:55,Ewallet,7.4
289-65-5721,2,8,2,81.37,8.137,170.877,2019-01-26,19:28,Cash,6.5
545-46-3100,1,9,3,10.59,1.5885,33.3585,2019-03-12,13:52,Credit card,8.7
418-02-5978,2,13,9,84.09,37.8405,794.6505,2019-02-11,10:54,Cash,8
269-04-5750,4,8,4,73.82,14.764,310.044,2019-02-21,18:31,Cash,6.7
157-13-5295,4,1,10,51.94,25.97,545.37,2019-03-09,18:24,Ewallet,6.5
645-78-8093,2,4,2,93.14,9.314,195.594,2019-01-20,18:09,Ewallet,4.1
211-30-9270,3,17,5,17.41,4.3525,91.4025,2019-01-28,15:16,Credit card,4.9
755-12-3214,1,18,5,44.22,11.055,232.155,2019-03-05,17:07,Credit card,8.6
346-84-3103,1,9,5,13.22,3.305,69.405,2019-03-02,19:26,Cash,4.3
478-06-7835,3,14,1,89.69,4.4845,94.1745,2019-01-11,11:20,Ewallet,4.9
540-11-4336,3,10,9,24.94,11.223,235.683,2019-01-11,16:49,Credit card,5.6
448-81-5016,3,1,2,59.77,5.977,125.517,2019-03-11,12:01,Credit card,5.8
142-72-4741,4,18,2,93.2,9.32,195.72,2019-02-28,18:37,Credit card,6
217-58-1179,4,3,4,62.65,12.53,263.13,2019-01-05,11:25,Cash,4.2
376-02-8238,3,12,8,93.87,37.548,788.508,2019-02-02,18:42,Credit card,8.3
530-90-9855,4,3,8,47.59,19.036,399.756,2019-01-01,14:47,Cash,5.7
866-05-7563,1,9,3,81.4,12.21,256.41,2019-02-09,19:43,Cash,4.8
604-70-6476,4,14,5,17.94,4.485,94.185,2019-01-23,14:04,Ewallet,6.8
799-71-1548,4,5,4,77.72,15.544,326.424,2019-01-07,16:11,Credit card,8.8
785-13-7708,3,7,7,73.06,25.571,536.991,2019-01-14,19:06,Credit card,4.2
845-51-0542,4,7,9,46.55,20.9475,439.8975,2019-02-02,15:34,Ewallet,6.4
662-47-5456,4,18,10,35.19,17.595,369.495,2019-03-17,19:06,Credit card,8.4
883-17-4236,2,16,2,14.39,1.439,30.219,2019-03-02,19:44,Credit card,7.2
290-68-2984,3,3,4,23.75,4.75,99.75,2019-03-16,11:22,Cash,5.2
704-11-6354,4,3,8,58.9,23.56,494.76,2019-01-06,11:23,Cash,8.9
110-48-7033,4,8,4,32.62,6.524,137.004,2019-01-29,14:12,Cash,9
366-93-0948,4,5,1,66.35,3.3175,69.6675,2019-01-31,10:46,Credit card,9.7
729-09-9681,4,3,6,25.91,7.773,163.233,2019-02-05,10:16,Ewallet,8.7
151-16-1484,4,5,4,32.25,6.45,135.45,2019-02-13,12:38,Ewallet,6.5
380-94-4661,4,2,4,65.94,13.188,276.948,2019-02-07,13:05,Credit card,6.9
850-41-9669,2,5,9,75.06,33.777,709.317,2019-03-19,13:25,Ewallet,6.2
821-07-3596,2,18,4,16.45,3.29,69.09,2019-03-07,14:53,Ewallet,5.6
655-85-5130,1,8,4,38.3,7.66,160.86,2019-03-13,19:22,Cash,5.7
447-15-7839,1,4,10,22.24,11.12,233.52,2019-02-09,11:00,Cash,4.2
154-74-7179,3,11,1,54.45,2.7225,57.1725,2019-02-26,19:24,Ewallet,7.9
253-12-6086,1,4,7,98.4,34.44,723.24,2019-03-12,12:43,Credit card,8.7
808-65-0703,3,6,4,35.47,7.094,148.974,2019-03-14,17:22,Credit card,6.9
571-94-0759,1,7,10,74.6,37.3,783.3,2019-01-08,20:55,Cash,9.5
144-51-6085,4,3,4,70.74,14.148,297.108,2019-01-05,16:05,Credit card,4.4
731-14-2199,1,3,10,35.54,17.77,373.17,2019-01-04,13:34,Ewallet,7
783-09-1637,2,11,5,67.43,16.8575,354.0075,2019-03-06,18:13,Ewallet,6.3
687-15-1097,1,17,2,21.12,2.112,44.352,2019-01-03,19:17,Cash,9.7
126-54-1082,1,3,9,21.54,9.693,203.553,2019-01-07,11:44,Credit card,8.8
633-91-1052,2,3,2,12.03,1.203,25.263,2019-01-27,15:51,Cash,5.1
477-24-6490,2,13,6,99.71,29.913,628.173,2019-02-26,16:52,Ewallet,7.9
566-19-5475,3,8,7,47.97,16.7895,352.5795,2019-01-07,20:52,Cash,6.2
526-86-8552,1,6,10,21.82,10.91,229.11,2019-01-07,17:36,Cash,7.1
376-56-3573,2,18,4,95.42,19.084,400.764,2019-02-02,13:23,Ewallet,6.4
537-72-0426,4,18,10,70.99,35.495,745.395,2019-03-20,16:28,Cash,5.7
828-61-5674,4,4,10,44.02,22.01,462.21,2019-03-20,19:57,Credit card,9.6
136-08-6195,2,3,8,69.96,27.984,587.664,2019-02-15,17:01,Credit card,6.4
523-38-0215,3,6,1,37,1.85,38.85,2019-03-06,13:29,Credit card,7.9
490-29-1201,2,4,1,15.34,0.767,16.107,2019-01-06,11:09,Cash,6.5
667-92-0055,4,1,6,99.83,29.949,628.929,2019-03-04,15:02,Ewallet,8.5
565-17-3836,1,1,4,47.67,9.534,200.214,2019-03-12,14:21,Cash,9.1
498-41-1961,3,13,5,66.68,16.67,350.07,2019-02-20,18:01,Cash,7.6
593-95-4461,4,6,1,74.86,3.743,78.603,2019-03-24,14:49,Cash,6.9
226-71-3580,2,16,9,23.75,10.6875,224.4375,2019-01-31,12:02,Cash,9.5
283-79-9594,2,7,7,48.51,16.9785,356.5485,2019-01-25,13:30,Credit card,5.2
430-60-3493,1,3,7,94.88,33.208,697.368,2019-02-03,14:38,Cash,4.2
139-20-0155,4,9,10,40.3,20.15,423.15,2019-01-24,17:37,Credit card,7
558-80-4082,3,2,7,27.85,9.7475,204.6975,2019-03-14,17:20,Ewallet,6
278-97-7759,1,5,1,62.48,3.124,65.604,2019-02-18,20:29,Cash,4.7
316-68-6352,1,10,2,36.36,3.636,76.356,2019-01-21,10:00,Cash,7.1
585-03-5943,3,13,10,18.11,9.055,190.155,2019-03-13,11:46,Ewallet,5.9
211-05-0490,1,2,5,51.92,12.98,272.58,2019-03-03,13:42,Cash,7.5
727-75-6477,3,2,4,28.84,5.768,121.128,2019-03-29,14:44,Cash,6.4
744-02-5987,4,3,6,78.38,23.514,493.794,2019-01-10,14:16,Ewallet,5.8
307-83-9164,4,3,4,60.01,12.002,252.042,2019-01-25,15:54,Cash,4.5
779-06-0012,1,6,1,88.61,4.4305,93.0405,2019-01-19,10:21,Cash,7.7
446-47-6729,3,18,2,99.82,9.982,209.622,2019-01-02,18:09,Credit card,6.7
573-10-3877,4,13,1,39.01,1.9505,40.9605,2019-03-12,16:46,Credit card,4.7
735-06-4124,3,15,1,48.61,2.4305,51.0405,2019-02-25,15:31,Cash,4.4
439-54-7422,2,5,4,51.19,10.238,214.998,2019-03-18,17:15,Credit card,4.7
396-90-2219,2,9,8,14.96,5.984,125.664,2019-02-23,12:29,Cash,8.6
411-77-0180,4,5,7,72.2,25.27,530.67,2019-03-26,20:14,Ewallet,4.3
286-01-5402,2,4,7,40.23,14.0805,295.6905,2019-03-30,13:22,Cash,9.6
